iter	Passed	Remaining
0	72	35932
1	139	34856
2	215	35749
3	286	35576
4	356	35336
5	429	35399
6	497	35034
7	567	34910
8	633	34566
9	711	34870
10	773	34381
11	842	34265
12	906	33959
13	972	33742
14	1043	33725
15	1112	33651
16	1184	33657
17	1253	33560
18	1320	33423
19	1346	32317
20	1413	32248
21	1482	32216
22	1554	32232
23	1624	32209
24	1694	32193
25	1770	32269
26	1838	32214
27	1908	32169
28	1981	32178
29	2052	32159
30	2119	32068
31	2201	32199
32	2264	32047
33	2329	31925
34	2404	31943
35	2479	31963
36	2550	31915
37	2617	31826
38	2688	31776
39	2755	31685
40	2823	31612
41	2895	31577
42	2961	31469
43	3025	31356
44	3092	31271
45	3162	31210
46	3222	31057
47	3288	30962
48	3366	30983
49	3433	30905
50	3497	30791
51	3565	30717
52	3637	30677
53	3706	30614
54	3778	30571
55	3847	30508
56	3920	30469
57	3946	30077
58	4010	29977
59	4081	29929
60	4154	29901
61	4223	29837
62	4293	29783
63	4370	29776
64	4432	29664
65	4500	29595
66	4570	29535
67	4637	29460
68	4705	29389
69	4779	29361
70	4853	29325
71	4925	29279
72	4996	29223
73	5059	29125
74	5073	28748
75	5141	28686
76	5209	28616
77	5287	28609
78	5353	28531
79	5424	28476
80	5490	28401
81	5560	28343
82	5626	28270
83	5699	28227
84	5721	27935
85	5789	27872
86	5803	27550
87	5872	27492
88	5904	27266
89	5975	27220
90	6037	27135
91	6111	27102
92	6185	27070
93	6255	27019
94	6330	26987
95	6396	26920
96	6460	26840
97	6509	26701
98	6572	26622
99	6618	26472
100	6683	26403
101	6753	26351
102	6826	26309
103	6903	26285
104	6969	26219
105	7045	26187
106	7121	26155
107	7192	26107
108	7271	26084
109	7345	26044
110	7363	25805
111	7400	25637
112	7473	25596
113	7509	25426
114	7590	25410
115	7659	25354
116	7676	25130
117	7751	25092
118	7762	24853
119	7846	24846
120	7915	24792
121	7944	24615
122	8015	24569
123	8089	24530
124	8153	24460
125	8175	24268
126	8250	24233
127	8265	24020
128	8291	23844
129	8346	23756
130	8364	23560
131	8430	23503
132	8494	23439
133	8567	23400
134	8635	23346
135	8714	23322
136	8782	23269
137	8859	23239
138	8942	23223
139	9014	23179
140	9088	23140
141	9159	23092
142	9225	23030
143	9289	22966
144	9362	22921
145	9436	22879
146	9509	22835
147	9577	22779
148	9645	22722
149	9704	22644
150	9770	22582
151	9848	22547
152	9927	22514
153	9994	22455
154	10071	22416
155	10140	22362
156	10214	22314
157	10284	22260
158	10358	22214
159	10430	22164
160	10505	22119
161	10582	22080
162	10661	22042
163	10728	21981
164	10796	21920
165	10867	21865
166	10895	21726
167	10968	21675
168	11039	21622
169	11067	21484
170	11143	21440
171	11212	21382
172	11292	21344
173	11306	21183
174	11385	21145
175	11454	21086
176	11527	21036
177	11602	20988
178	11672	20931
179	11744	20879
180	11822	20836
181	11892	20779
182	11972	20739
183	12042	20682
184	12115	20628
185	12126	20472
186	12192	20407
187	12261	20349
188	12338	20303
189	12405	20239
190	12483	20195
191	12556	20142
192	12631	20091
193	12705	20040
194	12775	19982
195	12855	19939
196	12929	19887
197	12994	19820
198	13072	19772
199	13140	19710
200	13213	19655
201	13281	19593
202	13358	19544
203	13430	19486
204	13515	19448
205	13583	19386
206	13656	19329
207	13664	19183
208	13730	19117
209	13810	19071
210	13870	18998
211	13882	18858
212	13956	18805
213	14027	18746
214	14036	18607
215	14110	18552
216	14174	18485
217	14250	18434
218	14332	18390
219	14352	18267
220	14426	18213
221	14503	18162
222	14575	18104
223	14658	18061
224	14735	18009
225	14758	17892
226	14831	17837
227	14910	17787
228	14978	17725
229	15047	17664
230	15116	17602
231	15174	17529
232	15245	17470
233	15318	17413
234	15332	17289
235	15350	17171
236	15425	17117
237	15460	17019
238	15524	16953
239	15598	16898
240	15673	16844
241	15682	16719
242	15759	16667
243	15838	16617
244	15908	16557
245	15982	16502
246	16051	16441
247	16065	16324
248	16138	16267
249	16213	16213
250	16282	16153
251	16356	16097
252	16379	15991
253	16446	15928
254	16517	15870
255	16536	15761
256	16598	15694
257	16665	15632
258	16736	15573
259	16809	15516
260	16884	15461
261	16954	15401
262	17025	15342
263	17093	15280
264	17166	15222
265	17233	15160
266	17309	15105
267	17384	15048
268	17455	14989
269	17471	14883
270	17541	14822
271	17619	14769
272	17697	14715
273	17767	14655
274	17779	14546
275	17849	14486
276	17924	14430
277	17998	14372
278	18069	14313
279	18144	14256
280	18212	14194
281	18291	14140
282	18368	14084
283	18447	14030
284	18523	13974
285	18599	13917
286	18668	13855
287	18683	13752
288	18702	13654
289	18782	13601
290	18850	13538
291	18865	13438
292	18932	13375
293	18995	13309
294	19068	13250
295	19140	13191
296	19221	13137
297	19295	13079
298	19367	13019
299	19440	12960
300	19510	12898
301	19578	12836
302	19661	12783
303	19724	12717
304	19800	12659
305	19870	12597
306	19949	12541
307	20027	12484
308	20098	12423
309	20113	12327
310	20179	12263
311	20249	12201
312	20267	12108
313	20346	12052
314	20424	11995
315	20503	11938
316	20584	11883
317	20656	11822
318	20734	11764
319	20807	11704
320	20889	11648
321	20907	11557
322	20972	11492
