iter	Accuracy	Logloss
0	0.769124583	0.6871991787
1	0.7774071092	0.6810493725
2	0.7767168987	0.6755718508
3	0.7741861268	0.6701876054
4	0.7803980214	0.6642598691
5	0.7830438284	0.658871872
6	0.7831588635	0.653995989
7	0.7889106177	0.6486666576
8	0.7942022317	0.643380868
9	0.7928218107	0.638588041
10	0.7947774071	0.6337364356
11	0.7943172668	0.6296169133
12	0.7938571264	0.6249478738
13	0.7937420913	0.6208208877
14	0.7945473369	0.616149106
15	0.7948924422	0.611664791
16	0.7984585299	0.6072714558
17	0.7993788105	0.6027956515
18	0.7990337053	0.5985473229
19	0.7994938456	0.5951860777
20	0.8006441965	0.591779191
21	0.7990337053	0.5880654704
22	0.7981134246	0.5847414433
23	0.7985735649	0.5811547859
24	0.7992637755	0.5775763542
25	0.8002990912	0.5744817025
26	0.8001840561	0.5713876494
27	0.8009893017	0.5684465204
28	0.8012193719	0.5654347814
29	0.8008742667	0.5622874608
30	0.8020246175	0.5593539132
31	0.8014494421	0.5567870818
32	0.8023697228	0.5537317452
33	0.8019095824	0.5505046432
34	0.8022546877	0.5476164264
35	0.8023697228	0.5451574208
36	0.802714828	0.5431971758
37	0.8022546877	0.5406434216
38	0.8037501438	0.5379589319
39	0.8038651789	0.5350696507
40	0.8042102841	0.5328038806
41	0.803980214	0.5304401937
42	0.8042102841	0.5281579865
43	0.8045553894	0.5261407219
44	0.8046704245	0.5238496504
45	0.8043253192	0.5217010336
46	0.8045553894	0.5193180187
47	0.8047854596	0.5176939366
48	0.8051305648	0.5159799855
49	0.8047854596	0.5145343882
50	0.8042102841	0.5127619686
51	0.8055907052	0.5110533818
52	0.8049004947	0.5091746669
53	0.8050155297	0.5073331909
54	0.8054756701	0.5055293144
55	0.8054756701	0.5040885132
56	0.8060508455	0.5024421101
57	0.8058207753	0.5015268572
58	0.8063959508	0.5001004602
59	0.8066260209	0.4983667298
60	0.8065109859	0.4971650412
61	0.8061658806	0.4956512635
62	0.8062809157	0.4939476466
63	0.8060508455	0.4925420844
64	0.8062809157	0.4912952933
65	0.8062809157	0.4899514196
66	0.8061658806	0.4883931631
67	0.8065109859	0.486977688
68	0.8068560911	0.4855810175
69	0.8065109859	0.4841527612
70	0.8066260209	0.482717124
71	0.8061658806	0.4815016346
72	0.806741056	0.4802820529
73	0.8066260209	0.4793071421
74	0.8070861613	0.4789144863
75	0.8074312665	0.4777284944
76	0.808006442	0.4765294914
77	0.8081214771	0.475559879
78	0.8077763718	0.474330067
79	0.8077763718	0.4730897825
80	0.8081214771	0.4721493202
81	0.8081214771	0.4709306718
82	0.8076613367	0.4700114625
83	0.808006442	0.4690198609
84	0.8081214771	0.4683455688
85	0.8085816174	0.4672250014
86	0.8090417577	0.4668974313
87	0.8092718279	0.4659503998
88	0.8088116876	0.4651783334
89	0.8097319683	0.4641844634
90	0.8101921086	0.4635401537
91	0.8098470033	0.4627355042
92	0.8095018981	0.4620090865
93	0.8092718279	0.4609011721
94	0.8098470033	0.460160454
95	0.8099620384	0.4592272573
96	0.8099620384	0.4584066349
97	0.8096169332	0.4576823346
98	0.809386863	0.4568753513
99	0.8095018981	0.4563652937
100	0.8092718279	0.4555804953
101	0.809386863	0.4550406251
102	0.809386863	0.4543588601
103	0.8098470033	0.4536209828
104	0.8098470033	0.4528998014
105	0.8095018981	0.4521422856
106	0.8099620384	0.4513813747
107	0.8104221788	0.4506424562
108	0.8104221788	0.4499908444
109	0.810767284	0.449203333
110	0.8101921086	0.4488383796
111	0.8104221788	0.4483254934
112	0.8104221788	0.4478060016
113	0.8101921086	0.4472356819
114	0.8099620384	0.4465028745
115	0.8104221788	0.445891513
116	0.8105372139	0.4456068905
117	0.8104221788	0.4449450407
118	0.8103071437	0.4447828062
119	0.8100770735	0.4442448439
120	0.8101921086	0.4436231725
121	0.8100770735	0.4431883421
122	0.8099620384	0.4425275777
123	0.8099620384	0.4418483492
124	0.8099620384	0.4412648696
125	0.8104221788	0.4409000452
126	0.8101921086	0.4404848108
127	0.8103071437	0.4403516683
128	0.8100770735	0.4399315237
129	0.8099620384	0.439289341
130	0.8100770735	0.4391126511
131	0.8105372139	0.4385436196
132	0.8108823191	0.4379566994
133	0.8109973542	0.4375750899
134	0.8106522489	0.437088547
135	0.8108823191	0.4365942271
136	0.810767284	0.4360223205
137	0.8114574945	0.4355051244
138	0.8112274244	0.4349520094
139	0.8115725296	0.43429488
140	0.8113424595	0.4337670254
141	0.8112274244	0.4333592339
142	0.8116875647	0.4329678254
143	0.8119176349	0.4324765975
144	0.8115725296	0.4319862843
145	0.8114574945	0.431383987
146	0.8109973542	0.4309095747
147	0.8109973542	0.4305511386
148	0.8113424595	0.4300167765
149	0.8116875647	0.4294767288
150	0.8116875647	0.4291022759
151	0.8118025998	0.428675297
152	0.8116875647	0.4282777091
153	0.8116875647	0.4279731579
154	0.8119176349	0.42756569
155	0.8119176349	0.427063946
156	0.8122627401	0.426582316
157	0.8119176349	0.4262656251
158	0.8116875647	0.4259373733
159	0.81203267	0.4255620384
160	0.8123777752	0.4252348036
161	0.8122627401	0.4248875514
162	0.8122627401	0.4244332661
163	0.8121477051	0.4241201327
164	0.8124928103	0.4236800506
165	0.8126078454	0.423273644
166	0.8123777752	0.4231089399
167	0.8129529506	0.4226736995
168	0.8129529506	0.4222609677
169	0.8128379156	0.4219462986
170	0.8127228805	0.4217118443
171	0.8127228805	0.4214323274
172	0.8130679857	0.4210774426
173	0.8128379156	0.4209494508
174	0.8127228805	0.4206462003
175	0.8128379156	0.4203034832
176	0.8130679857	0.419952002
177	0.8130679857	0.4195567659
178	0.8132980559	0.4192647044
179	0.8135281261	0.4188417704
180	0.8135281261	0.4185751644
181	0.8132980559	0.418218291
182	0.8135281261	0.4178639173
183	0.8132980559	0.4176331366
184	0.813413091	0.4172536514
185	0.813413091	0.4171743899
186	0.813413091	0.4167994729
187	0.8136431612	0.4165429328
188	0.813413091	0.4162044112
189	0.813413091	0.4158996089
190	0.8137581962	0.4156117882
191	0.8142183366	0.415293682
192	0.8139882664	0.4149431016
193	0.814793512	0.4145701612
194	0.8146784769	0.4143758623
195	0.8146784769	0.4141154858
196	0.814793512	0.4135888935
197	0.8149085471	0.4133306252
198	0.8149085471	0.4130650261
199	0.8151386173	0.4127180804
200	0.8154837225	0.4125080393
201	0.8155987576	0.4120529818
202	0.8154837225	0.411888591
203	0.8157137927	0.4115777117
204	0.8154837225	0.4114052833
205	0.8151386173	0.4111145962
206	0.8151386173	0.4108293194
207	0.8152536524	0.4107994032
208	0.8153686874	0.4104932355
209	0.8153686874	0.4103182109
210	0.8153686874	0.4100645222
211	0.8154837225	0.4100063741
212	0.8158288278	0.4097596794
213	0.8159438629	0.4094559547
214	0.8159438629	0.40939476
215	0.816173933	0.4091098443
216	0.816173933	0.4089170442
217	0.816058898	0.4087238266
218	0.8159438629	0.4085290726
219	0.816173933	0.4083667877
220	0.816173933	0.4081686509
221	0.816058898	0.4079193957
222	0.816173933	0.4077231384
223	0.816173933	0.4074680951
224	0.8165190383	0.4072413993
225	0.8165190383	0.4071811655
226	0.8164040032	0.4069756671
