Zelus luridus
Haematopinus asini
Bembidion decorum
Agrotis orthogonia
Leptogaster
Cameraria hamadryadella
Galerucinae
Monochamus scutellatus
Syntomus obscuroguttatus
Cnaphalocrocis medinalis
Tenebroides mauritanicus
Fidia viticida
Euxoa messoria
Anoplolepis gracilipes
Thysanoptera
Harmonia axyridis
Eoreuma loftini
Conophthorus ponderosae
Caulophilus oryzae
Dermanyssus gallinae
Bembidion bualei
Ips calligraphus
Rhopalapion longirostre
Neodiprion excitans
Nepytia phantasmaria
Leistus ferrugineus
Chaetocnema pulicaria
Vespa mandarinia
Melanotus longulus
Papilio polyxenes
Xylosandrus crassiusculus
Aedes aegypti
Delia platura
Pterostichus macer
Perillus bioculatus
Pholidoptera griseoaptera
Monochroa fragariae
Anisodactylus poeciloides
Sphaerophoria scripta
Hypsopygia costalis
Anasa tristis
Acyrthosiphon caraganae
Abax parallelepipedus
Megacyllene caryae
Demetrias monostigma
Grapholita interstinctana
Semanotus litigiosus
Microcephalothrips abdominalis
Chrysomphalus dictyospermi
Aedes sticticus
Cerodontha denticornis
Tachinidae
Hyphantria cunea
Acyrthosiphon kondoi
Orthotomicus erosus
Dioryctria resinosella
Rhopalosiphum rufiabdominale
Ithome concolorella
Cryptolestes pusillus
Zabrus tenebrioides
Incisitermes minor
Limonius californicus
Cnephia pecuarum
Bombus lapidarius
Amara infima
Melormenis basalis
Neogalea sunia
Dioryctria auranticella
Perkinsiella saccharicida
Walshia miscecolorella
Dioryctria amatella
Chrysotoxum
Retinia albicapitana
Culex quinquefasciatus
Syntexis libocedrii
Bembidion obliquum
Agrilus cuprescens
Icerya purchasi
Ophiomyia lantanae
Haematopinus quadripertusus
Euaspis basalis
Otiorhynchus ovatus
Aphis nasturtii
Achroia grisella
Leptopterna dolabrata
Antianthe expansa
Cylindroiulus caeruleocinctus
Asaphidion pallipes
Panagaeus bipustulatus
Arrhenodes minutus
Coptotermes formosanus
Demodex brevis
Trogoderma granarium
Acleris gloverana
Aedes aboriginis
Atta texana
Bombus fraternus
Nabis alternatus
Nebria complanata
Colomerus vitis
Laodelphax striatellus
Aleurocanthus woglumi
Clastoptera proteus
Bromius obscurus
Languria mozardi
Trupanea vicina
Pseudomyrmex gracilis
Conotrachelus crataegi
Thrips orientalis
Rabdophaga rigidae
Aphis forbesi
Poecilus lepidus
Agrotis malefida
Formica fusca
Ophonus puncticeps
Coenonympha pamphilus
Tyrophagus putrescentiae
Ennomos subsignaria
Hypnoidus abbreviatus
Acrobasis juglandis
Anopheles quadrimaculatus
Cicadella viridis
Cryptococcus fagisuga
Corythucha marmorata
Phyllocnistis meliacella
Typophorus nigritus
Oestrus ovis
Tanystoma maculicolle
Drosophilinae
